D,M,N,__pyience_timestamp__,bias,corr,cossim,d,method,muls,ncodebooks,nlookups,normalized_mse,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_std
75,1,48400,2019-12-31T22_33_19,583.5667724609375,-0.6680088639259338,-0.9626814126968384,1.0,HashJL,3678475,,,23.3767032623291,372452.53125,0.8309687740402296,Caltech 0 (helicopter),0,407.1923522949219,126.22455596923828,67.60003662109375
75,1,48400,2019-12-31T22_33_19,386.45648193359375,0.7300875782966614,0.889087975025177,1.0,HashJL,3678475,,,12.177545547485352,159742.0625,0.024116819025948644,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,18.29029083251953
75,1,48400,2019-12-31T22_33_19,-162.84352111816406,0.975433886051178,0.9963682889938354,1.0,HashJL,3678475,,,1.1408724784851074,31944.478515625,0.023564504110254347,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,226.99957275390625
75,1,48400,2019-12-31T22_38_17,-91.81226348876952,-0.33685535192489624,0.8762272596359253,1.0,PCA,3678400,,,3.855168342590332,44589.77734375,0.0001688490156084299,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,124.72734832763672
75,1,48400,2019-12-31T22_38_17,79.42129516601562,0.3918736577033997,0.9247589707374572,1.0,PCA,3678400,,,1.0304255485534668,45419.81640625,0.000204038922674954,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,124.72734832763672
75,1,48400,2019-12-31T22_38_17,175.6529998779297,0.4844166934490204,0.9308894276618958,1.0,PCA,3678400,,,1.2110000848770142,83860.8984375,0.00015246204566210508,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,124.72734832763672
75,1,48400,2019-12-31T22_38_17,-129.75947570800778,0.2859487533569336,0.9411494731903076,1.0,PCA,3678400,,,4.768961429595947,33432.4140625,0.000211340025998652,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,124.72734832763672
75,1,48400,2019-12-31T22_38_17,100.80289459228516,0.2418999522924423,0.9123093485832214,1.0,PCA,3678400,,,1.2960658073425293,57125.8125,0.00015623692888766527,Caltech 7 (helicopter),0,512.8262939453125,209.9436187744141,124.72734832763672
75,1,48400,2019-12-31T22_38_17,24.74140167236328,0.33312106132507324,0.8755252361297607,1.0,PCA,3678400,,,0.9230945110321044,59806.48828125,0.0002047920133918524,Caltech 8 (helicopter),0,436.7648010253906,254.5370941162109,124.72734832763672
75,1,48400,2019-12-31T22_38_17,-173.01959228515625,-0.035065650939941406,0.8117618560791016,1.0,PCA,3678400,,,3.1996512413024902,68029.796875,0.00015105493366718292,Caltech 9 (helicopter),0,239.0037841796875,145.8136749267578,124.72734832763672
75,1,48400,2019-12-31T22_47_37,7.375080585479736,0.9863800406455994,0.9984738826751708,,Bolt,58080000,4.0,193600.0,0.04202040284872055,669.495849609375,0.7821921050781384,Caltech 0 (helicopter),0,407.1923522949219,126.22455596923828,110.93890380859376
75,1,48400,2019-12-31T22_47_37,11.129694938659668,0.11017164587974547,0.936125636100769,,Bolt,58080000,4.0,193600.0,1.7342413663864136,22749.353515625,0.0011825789697468279,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-0.0065250517800450325,0.475901871919632,0.938007950782776,,Bolt,58080000,4.0,193600.0,0.8085181713104248,22638.54296875,0.0012538820737972856,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-79.60616302490234,-0.328085720539093,0.8855210542678833,,Bolt,58080000,4.0,193600.0,3.288853645324707,38039.6484375,0.0012526659993454814,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,110.93890380859376
75,1,48400,2019-12-31T22_47_37,91.62740325927734,0.3368636667728424,0.921502947807312,,Bolt,58080000,4.0,193600.0,1.113680124282837,49089.56640625,0.0011431979946792126,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,110.93890380859376
75,1,48400,2019-12-31T22_47_37,187.8590850830078,0.4712401628494263,0.9309425354003906,,Bolt,58080000,4.0,193600.0,1.2900235652923584,89333.2109375,0.0013015809236094356,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-117.55337524414062,0.2739063799381256,0.9446340203285216,,Bolt,58080000,4.0,193600.0,4.000927925109863,28048.1796875,0.0011413979809731245,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,110.93890380859376
75,1,48400,2019-12-31T22_47_37,113.00899505615234,0.18839338421821594,0.9108427166938782,,Bolt,58080000,4.0,193600.0,1.3698757886886597,60379.08203125,0.0013462300412356851,Caltech 7 (helicopter),0,512.8262939453125,209.9436187744141,110.93890380859376
75,1,48400,2019-12-31T22_47_37,36.94751739501953,0.2741455137729645,0.8694389462471008,,Bolt,58080000,4.0,193600.0,0.9720612168312072,62979.0,0.0011091299820691347,Caltech 8 (helicopter),0,436.7648010253906,254.5370941162109,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-160.81349182128906,-0.037226777523756034,0.8174065351486206,,Bolt,58080000,4.0,193600.0,2.851824760437012,60634.44140625,0.0013670040061697366,Caltech 9 (helicopter),0,239.0037841796875,145.8136749267578,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-74.62470245361328,0.15104056894779205,0.9020493030548096,,Bolt,58080000,4.0,193600.0,1.6858508586883545,32502.7578125,0.0011691439431160688,Caltech 10 (ibis),0,325.1925964355469,138.85148620605472,110.93890380859376
75,1,48400,2019-12-31T22_47_37,114.99243927001952,-0.024334732443094254,0.92028146982193,,Bolt,58080000,4.0,193600.0,2.0832889080047607,50718.62109375,0.001335020991973579,Caltech 11 (ibis),0,514.8097534179689,156.03030395507812,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-71.66975402832031,0.027908675372600555,0.8109753131866455,,Bolt,58080000,4.0,193600.0,1.3512715101242063,62001.08984375,0.0012181750498712065,Caltech 12 (ibis),0,328.1475524902344,214.20437622070312,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-171.58973693847656,-0.2813803553581238,0.6660772562026978,,Bolt,58080000,4.0,193600.0,2.294632911682129,96717.375,0.0011370659340173006,Caltech 13 (ibis),0,228.2275695800781,205.30316162109366,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-203.70802307128903,0.12267360091209413,0.8592445850372314,,Bolt,58080000,4.0,193600.0,5.32988977432251,62599.6171875,0.0012769760796800256,Caltech 14 (ibis),0,196.1092529296875,108.37440490722656,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-230.84132385253903,0.12942756712436676,0.7395704984664917,,Bolt,58080000,4.0,193600.0,3.650713205337525,84330.2421875,0.0011894110357388856,Caltech 15 (ibis),0,168.9759521484375,151.98573303222656,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-46.23270797729492,0.04597216844558717,0.90567284822464,,Bolt,58080000,4.0,193600.0,1.7319968938827517,30952.06640625,0.0012119340244680645,Caltech 16 (ibis),0,353.5845947265625,133.68148803710938,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-96.13297271728516,-0.30787190794944763,0.818545937538147,,Bolt,58080000,4.0,193600.0,2.3132710456848145,56814.64453125,0.0013295159442350268,Caltech 17 (ibis),0,303.684326171875,156.71728515625,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-53.99045944213867,-0.10402979701757432,0.8611930608749391,,Bolt,58080000,4.0,193600.0,1.7256122827529907,45072.5703125,0.0011544970329850912,Caltech 18 (ibis),0,345.82684326171875,161.61607360839844,110.93890380859376
75,1,48400,2019-12-31T22_47_37,-91.98908996582031,-0.0989510864019394,0.9285280704498292,,Bolt,58080000,4.0,193600.0,4.80686092376709,28354.3828125,0.0012863520532846444,Caltech 19 (ibis),0,307.8282165527344,76.8031997680664,110.93890380859376
75,1,48400,2019-12-31T22_48_25,6.477729797363281,0.991576075553894,0.9986879825592041,,Bolt,58080000,8.0,387200.0,0.03696499019861221,588.9497680664062,0.9377540999557824,Caltech 0 (helicopter),0,407.1923522949219,126.22455596923828,108.43711853027344
75,1,48400,2019-12-31T22_48_25,10.232346534729004,0.10811340808868407,0.937423586845398,,Bolt,58080000,8.0,387200.0,1.6996514797210691,22295.611328125,0.0022619159426540136,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-0.903876543045044,0.481106162071228,0.9389570355415344,,Bolt,58080000,8.0,387200.0,0.7964311838150024,22300.107421875,0.0017852890305221079,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-80.50350952148438,-0.32751843333244324,0.8878101706504822,,Bolt,58080000,8.0,387200.0,3.2374167442321777,37444.71875,0.0018343139672651887,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,108.43711853027344
75,1,48400,2019-12-31T22_48_25,90.73004913330078,0.346859335899353,0.923264503479004,,Bolt,58080000,8.0,387200.0,1.0952192544937134,48275.8359375,0.002713034045882523,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,108.43711853027344
75,1,48400,2019-12-31T22_48_25,186.96176147460938,0.4678457975387573,0.9309334754943848,,Bolt,58080000,8.0,387200.0,1.2889984846115112,89262.2265625,0.002178499940782785,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-118.45072174072266,0.2747669517993927,0.9458350539207458,,Bolt,58080000,8.0,387200.0,3.9669883251190186,27810.248046875,0.0018794439965859056,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,108.43711853027344
75,1,48400,2019-12-31T22_48_25,112.11164093017578,0.19704873859882355,0.9128203988075256,,Bolt,58080000,8.0,387200.0,1.3483896255493164,59432.0546875,0.0018408329924568527,Caltech 7 (helicopter),0,512.8262939453125,209.9436187744141,108.43711853027344
75,1,48400,2019-12-31T22_48_25,36.0501594543457,0.28575584292411804,0.8715730309486389,,Bolt,58080000,8.0,387200.0,0.9580758213996888,62072.8984375,0.0017360530328005552,Caltech 8 (helicopter),0,436.7648010253906,254.5370941162109,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-161.7108612060547,-0.04234834760427475,0.8182688355445862,,Bolt,58080000,8.0,387200.0,2.845964193344116,60509.83203125,0.0018684150418266648,Caltech 9 (helicopter),0,239.0037841796875,145.8136749267578,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-75.52206420898438,0.14883333444595334,0.90300852060318,,Bolt,58080000,8.0,387200.0,1.6732625961303709,32260.05859375,0.0017396709881722927,Caltech 10 (ibis),0,325.1925964355469,138.85148620605472,108.43711853027344
75,1,48400,2019-12-31T22_48_25,114.0950927734375,-0.01954439841210841,0.9223018884658812,,Bolt,58080000,8.0,387200.0,2.044862985610962,49783.12109375,0.0018687120173126461,Caltech 11 (ibis),0,514.8097534179689,156.03030395507812,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-72.56710815429688,0.04141608998179437,0.8142222166061401,,Bolt,58080000,8.0,387200.0,1.3291071653366089,60984.109375,0.0017794519662857056,Caltech 12 (ibis),0,328.1475524902344,214.20437622070312,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-172.48709106445312,-0.28267279267311096,0.6682641506195068,,Bolt,58080000,8.0,387200.0,2.28344464302063,96245.8046875,0.002354964031837881,Caltech 13 (ibis),0,228.2275695800781,205.30316162109366,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-204.6053771972656,0.1228870153427124,0.8603821992874146,,Bolt,58080000,8.0,387200.0,5.319593906402588,62478.6953125,0.0019057750469073653,Caltech 14 (ibis),0,196.1092529296875,108.37440490722656,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-231.7386932373047,0.11978840827941895,0.7386075258255005,,Bolt,58080000,8.0,387200.0,3.6629390716552734,84612.65625,0.002065454958938062,Caltech 15 (ibis),0,168.9759521484375,151.98573303222656,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-47.13006210327149,0.058150701224803925,0.9082752466201782,,Bolt,58080000,8.0,387200.0,1.6879370212554932,30164.68359375,0.001878487062640488,Caltech 16 (ibis),0,353.5845947265625,133.68148803710938,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-97.03034973144531,-0.3136660754680633,0.8202199935913086,,Bolt,58080000,8.0,387200.0,2.296171188354492,56394.66796875,0.0017362399958074093,Caltech 17 (ibis),0,303.684326171875,156.71728515625,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-54.88781356811523,-0.10930795967578888,0.8624083399772644,,Bolt,58080000,8.0,387200.0,1.7122026681900024,44722.31640625,0.0021599968895316124,Caltech 18 (ibis),0,345.82684326171875,161.61607360839844,108.43711853027344
75,1,48400,2019-12-31T22_48_25,-92.88643646240234,-0.0868983045220375,0.9310739636421204,,Bolt,58080000,8.0,387200.0,4.701462745666504,27732.666015625,0.0018104449845850468,Caltech 19 (ibis),0,307.8282165527344,76.8031997680664,108.43711853027344
75,1,48400,2019-12-31T22_49_10,7.407957077026367,0.99532812833786,0.9991376399993896,,Bolt,58080000,16.0,774400.0,0.02757633663713932,439.36376953125,0.9795110709965228,Caltech 0 (helicopter),0,407.1923522949219,126.22455596923828,110.2747573852539
75,1,48400,2019-12-31T22_49_10,11.162571907043457,0.1179850623011589,0.937031090259552,,Bolt,58080000,16.0,774400.0,1.7093291282653809,22422.560546875,0.0020943840499967337,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,110.2747573852539
75,1,48400,2019-12-31T22_49_10,0.02635330520570278,0.4997275173664093,0.9405589103698728,,Bolt,58080000,16.0,774400.0,0.7756462693214417,21718.12890625,0.0020386050455272198,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-79.57328796386719,-0.3311981558799744,0.8857957124710083,,Bolt,58080000,16.0,774400.0,3.278028964996338,37914.44921875,0.002320357016287744,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,110.2747573852539
75,1,48400,2019-12-31T22_49_10,91.6602783203125,0.3586834967136383,0.9239615201950072,,Bolt,58080000,16.0,774400.0,1.089693903923035,48032.28515625,0.0026002509985119104,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,110.2747573852539
75,1,48400,2019-12-31T22_49_10,187.8919677734375,0.4586774408817291,0.9296653270721436,,Bolt,58080000,16.0,774400.0,1.3009880781173706,90092.5,0.0021062809973955154,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-117.5205078125,0.2746710479259491,0.9449667930603028,,Bolt,58080000,16.0,774400.0,3.981200218200684,27909.87890625,0.002221032977104187,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,110.2747573852539
75,1,48400,2019-12-31T22_49_10,113.04187774658205,0.21921861171722407,0.9142191410064696,,Bolt,58080000,16.0,774400.0,1.3355209827423096,58864.8515625,0.0021734919864684343,Caltech 7 (helicopter),0,512.8262939453125,209.9436187744141,110.2747573852539
75,1,48400,2019-12-31T22_49_10,36.98037338256836,0.302962064743042,0.8734453916549683,,Bolt,58080000,16.0,774400.0,0.9462932348251344,61309.515625,0.0020986429881304502,Caltech 8 (helicopter),0,436.7648010253906,254.5370941162109,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-160.78062438964844,-0.035244349390268326,0.8180561065673828,,Bolt,58080000,16.0,774400.0,2.8410801887512207,60405.9921875,0.0020999190164729953,Caltech 9 (helicopter),0,239.0037841796875,145.8136749267578,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-74.59184265136719,0.1440509557723999,0.9016058444976808,,Bolt,58080000,16.0,774400.0,1.690523386001587,32592.841796875,0.0021185650257393718,Caltech 10 (ibis),0,325.1925964355469,138.85148620605472,110.2747573852539
75,1,48400,2019-12-31T22_49_10,115.02530670166016,-0.031191417947411537,0.9201514720916748,,Bolt,58080000,16.0,774400.0,2.0870494842529297,50810.171875,0.0020634779939427968,Caltech 11 (ibis),0,514.8097534179689,156.03030395507812,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-71.63687133789062,0.042674720287323,0.8134391307830809,,Bolt,58080000,16.0,774400.0,1.3329365253448486,61159.8125,0.0029227520572021604,Caltech 12 (ibis),0,328.1475524902344,214.20437622070312,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-171.55685424804688,-0.2787913680076599,0.6671155691146851,,Bolt,58080000,16.0,774400.0,2.2862770557403564,96365.1875,0.002083646017126739,Caltech 13 (ibis),0,228.2275695800781,205.30316162109366,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-203.6751708984375,0.13888007402420044,0.8615971207618713,,Bolt,58080000,16.0,774400.0,5.2847633361816415,62069.60546875,0.002070573042146861,Caltech 14 (ibis),0,196.1092529296875,108.37440490722656,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-230.80845642089844,0.1366027593612671,0.7410212755203247,,Bolt,58080000,16.0,774400.0,3.6344149112701416,83953.7578125,0.002037776983343065,Caltech 15 (ibis),0,168.9759521484375,151.98573303222656,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-46.19983291625977,0.06769252568483353,0.908071219921112,,Bolt,58080000,16.0,774400.0,1.6882280111312866,30169.884765625,0.002157490001991391,Caltech 16 (ibis),0,353.5845947265625,133.68148803710938,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-96.10010528564452,-0.326873391866684,0.8167967796325684,,Bolt,58080000,16.0,774400.0,2.331162929534912,57254.078125,0.0020600970601663,Caltech 17 (ibis),0,303.684326171875,156.71728515625,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-53.95758438110352,-0.11765606701374055,0.8600914478302002,,Bolt,58080000,16.0,774400.0,1.73759126663208,45385.4609375,0.002087172004394233,Caltech 18 (ibis),0,345.82684326171875,161.61607360839844,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-91.95622253417969,-0.08157680183649063,0.930075466632843,,Bolt,58080000,16.0,774400.0,4.729325771331787,27897.021484375,0.0020290000829845667,Caltech 19 (ibis),0,307.8282165527344,76.8031997680664,110.2747573852539
75,1,48400,2019-12-31T22_50_04,3.4937102794647217,0.9989234209060668,0.9999024868011476,,Bolt,58080000,32.0,1548800.0,0.0029185789171606307,46.50065994262695,1.2826932630268857,Caltech 0 (helicopter),0,407.1923522949219,126.22455596923828,126.11414337158205
75,1,48400,2019-12-31T22_50_04,7.2483277320861825,0.12172781676054,0.9292104244232178,,Bolt,58080000,32.0,1548800.0,1.9483932256698608,25558.544921875,0.007734716054983438,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-3.887897729873657,0.5115445852279663,0.9393918514251708,,Bolt,58080000,32.0,1548800.0,0.7974894046783447,22329.73828125,0.0047426900127902644,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-83.48753356933594,-0.3314118087291717,0.8733741044998169,,Bolt,58080000,32.0,1548800.0,3.7549939155578613,43431.13671875,0.004991465946659446,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,126.11414337158205
75,1,48400,2019-12-31T22_50_04,87.74603271484375,0.3823091983795166,0.922549605369568,,Bolt,58080000,32.0,1548800.0,1.076202392578125,47437.59765625,0.004680444020777941,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,126.11414337158205
75,1,48400,2019-12-31T22_50_04,183.97772216796875,0.474165141582489,0.9289411902427672,,Bolt,58080000,32.0,1548800.0,1.2639765739440918,87529.4765625,0.004504355951212346,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-121.43476104736328,0.2806357145309448,0.9388946294784546,,Bolt,58080000,32.0,1548800.0,4.526827335357666,31734.953125,0.00519113801419735,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,126.11414337158205
